1.7		0.89
1.94639		0.892397
1.98376		0.893763
2.0259		0.894331
2.06642		0.89452
2.11218		0.895447
2.15626		0.896282
2.20614		0.896249
2.25427		0.896927
2.30885		0.897312
2.36162		0.898041
2.42158		0.898582
2.4797		0.898902
2.54589		0.899891
2.61021		0.899924
2.68366		0.89969
2.75522		0.898835
2.83719		0.892607
2.91729		0.882187
3.00934		0.88511
3.09962		0.875398
3.20375		0.769595
3.30627		0.773589
3.425		0.774138
3.54243		0.775453
3.67908		0.730734
3.81492		0.690177
3.97388		0.676897
4.13283		0.626289
4.32003		0.588969
4.50855		0.506304
4.73225		0.449798
4.9594		0.43929
5.7		0.43
